iter	Passed	Remaining
0	47	47872
1	48	24181
2	48	16263
3	49	12291
4	49	9911
5	50	8326
6	50	7191
7	51	6342
8	51	5675
9	51	5142
10	52	4709
11	52	4344
12	53	4037
13	53	3773
14	54	3546
15	54	3347
16	54	3169
17	55	3012
18	55	2873
19	56	2750
20	56	2638
21	57	2534
22	57	2439
23	57	2352
24	58	2273
25	58	2198
26	59	2129
27	59	2064
28	59	2004
29	60	1948
30	60	1895
31	61	1845
32	61	1799
33	61	1756
34	62	1715
35	62	1676
36	62	1639
37	63	1603
38	63	1569
39	64	1538
40	64	1508
41	64	1479
42	65	1451
43	65	1425
44	65	1400
45	66	1375
46	66	1352
47	67	1330
48	67	1308
49	67	1288
50	68	1268
51	68	1248
52	68	1230
53	69	1212
54	69	1195
55	69	1179
56	70	1163
57	70	1147
58	71	1133
59	71	1119
60	71	1105
61	72	1091
62	72	1078
63	72	1065
64	73	1053
65	73	1041
66	73	1030
67	74	1016
68	74	1005
69	74	995
70	75	984
71	75	974
72	75	964
73	76	956
74	76	947
75	77	938
76	77	929
77	77	921
78	78	913
79	78	904
80	79	896
81	79	888
82	79	880
83	80	873
84	80	864
85	80	857
86	80	849
87	81	842
88	81	835
89	82	829
90	82	822
91	82	816
92	83	810
93	83	805
94	83	799
95	84	793
96	84	788
97	85	782
98	85	777
99	85	771
100	86	766
101	86	759
102	86	754
103	86	749
104	87	744
105	87	739
106	88	734
107	88	729
108	88	725
109	89	720
110	89	715
111	89	711
112	90	707
113	90	703
114	90	698
115	91	694
116	91	690
117	91	686
118	92	681
119	92	678
120	92	674
121	93	670
122	93	665
123	93	661
124	94	658
125	94	654
126	94	651
127	94	646
128	95	643
129	95	640
130	96	637
131	96	634
132	96	631
133	97	628
134	97	625
135	97	622
136	98	619
137	98	615
138	98	612
139	99	609
140	99	607
141	100	604
142	100	601
143	100	598
144	101	595
145	101	593
146	101	590
147	102	587
148	102	585
149	102	582
150	103	580
151	103	577
152	103	575
153	104	573
154	104	570
155	105	568
156	105	565
157	105	563
158	106	561
159	106	558
160	106	556
161	107	554
162	107	551
163	107	549
164	108	547
165	108	545
166	108	543
167	109	540
168	109	538
169	109	536
170	110	534
171	110	533
172	111	531
173	111	530
174	112	528
175	112	527
176	112	525
177	113	523
178	113	521
179	113	519
180	114	516
181	114	514
182	114	512
183	115	510
184	115	509
185	115	507
186	116	505
187	116	503
188	117	502
189	117	500
190	117	498
191	118	496
192	118	495
193	118	493
194	119	491
195	119	490
196	119	488
197	120	486
198	120	485
199	120	483
200	121	481
201	121	480
202	121	478
203	122	477
204	122	475
205	122	474
206	123	472
207	123	471
208	124	469
209	124	468
210	124	466
211	125	465
212	125	463
213	125	462
214	126	460
215	126	459
216	126	457
217	127	456
218	127	455
219	127	453
220	128	452
221	128	450
222	128	449
223	129	447
224	129	446
225	130	445
226	130	444
227	130	442
228	131	441
229	131	440
230	131	438
231	132	437
232	132	436
233	132	434
234	133	433
235	133	432
236	133	431
237	134	429
238	134	428
239	134	427
240	135	426
241	135	424
242	136	423
243	136	422
244	136	421
245	137	420
246	137	419
247	137	418
248	138	416
249	138	415
250	138	414
251	139	413
252	139	412
253	139	410
254	140	409
255	140	408
256	140	407
257	141	406
258	141	405
259	142	404
260	142	403
261	142	402
262	143	401
263	143	400
264	143	399
265	144	398
266	144	397
267	145	396
268	145	395
269	145	393
270	146	393
271	146	391
272	146	390
273	147	389
274	147	388
275	147	387
276	148	386
277	148	385
278	148	384
279	149	383
