iter	Passed	Remaining
0	47	47569
1	48	24070
2	49	16287
3	49	12394
4	50	10052
5	51	8497
6	52	7388
7	52	6508
8	52	5823
9	53	5269
10	53	4818
11	53	4440
12	54	4128
13	55	3875
14	55	3674
15	56	3490
16	57	3341
17	58	3183
18	58	3045
19	59	2922
20	60	2811
21	60	2706
22	61	2607
23	61	2516
24	62	2435
25	62	2359
26	63	2290
27	64	2226
28	64	2165
29	65	2109
30	65	2055
31	66	2006
32	66	1960
33	67	1915
34	67	1874
35	68	1834
36	69	1796
37	70	1772
38	70	1742
39	71	1713
40	72	1697
41	72	1664
42	73	1634
43	73	1603
44	74	1574
45	74	1545
46	74	1517
47	75	1490
48	75	1465
49	76	1444
50	76	1421
51	76	1398
52	77	1377
53	77	1356
54	77	1337
55	78	1319
56	78	1300
57	78	1282
58	79	1268
59	79	1252
60	80	1239
61	81	1228
62	81	1212
63	82	1209
64	83	1194
65	83	1180
66	83	1166
67	84	1152
68	84	1139
69	84	1126
70	85	1115
71	85	1103
72	86	1092
73	86	1081
74	86	1070
75	87	1058
76	87	1048
77	87	1037
78	88	1026
79	88	1016
80	88	1007
81	89	997
82	89	986
83	89	977
84	89	968
85	90	962
86	91	955
87	91	948
88	91	941
89	92	936
90	94	939
91	94	934
92	95	926
93	95	918
94	95	911
95	96	904
96	96	899
97	97	894
98	97	888
99	97	881
100	98	875
101	98	868
102	99	862
103	99	856
104	99	849
105	100	843
106	100	837
107	100	831
108	101	826
109	101	820
110	101	815
111	102	809
112	102	804
113	102	799
114	103	793
115	103	789
116	103	783
117	104	778
118	104	773
119	104	768
120	105	764
121	105	759
122	105	754
123	106	751
124	106	748
125	107	744
126	108	745
127	109	742
128	109	740
129	110	737
130	110	733
131	110	728
132	111	724
133	111	721
134	111	717
135	112	713
136	112	709
137	112	705
138	113	702
139	114	703
140	114	699
141	115	695
142	115	691
143	115	688
144	116	685
145	116	681
146	116	678
147	117	675
148	117	672
149	118	669
150	118	666
151	118	662
152	119	659
153	119	656
154	119	653
155	120	651
156	120	647
157	121	644
158	121	642
159	121	639
160	122	636
161	122	633
162	122	631
163	123	630
164	124	629
165	124	626
166	125	624
167	125	622
168	126	619
169	126	617
170	127	616
171	127	613
172	127	611
173	128	608
174	128	606
175	128	603
176	129	601
177	129	598
178	129	595
179	130	593
180	130	590
181	130	588
182	131	585
183	131	583
184	131	580
185	132	578
186	132	576
187	132	573
188	133	571
189	133	569
190	134	567
191	134	565
192	134	563
193	135	561
194	135	559
195	135	557
196	136	555
197	136	553
198	137	551
199	137	549
200	137	547
201	138	545
202	138	543
203	138	541
204	139	540
205	139	538
206	139	536
207	140	534
208	140	532
209	141	530
210	141	528
211	141	527
212	142	525
213	142	523
214	143	523
215	143	521
216	144	521
217	145	521
218	146	520
219	146	519
220	146	517
221	147	515
222	147	513
223	147	512
224	148	510
225	148	509
226	149	507
227	149	505
228	149	504
229	150	502
230	150	501
231	150	499
232	151	497
233	151	496
234	152	496
235	152	494
236	153	493
237	153	491
238	153	489
239	154	488
240	154	486
241	154	485
242	155	483
243	155	482
244	156	481
245	156	479
246	156	478
247	157	476
248	157	474
249	157	473
250	158	472
251	158	470
252	159	469
253	159	468
254	159	466
255	160	465
256	160	463
257	160	462
258	161	461
259	161	459
260	161	458
261	162	457
262	162	456
263	163	455
264	163	454
265	164	452
266	164	451
267	164	450
268	165	449
269	166	448
270	166	447
271	166	446
272	167	445
273	167	444
274	168	443
275	168	442
276	169	441
277	169	439
278	169	438
279	170	437
280	170	436
281	171	435
282	171	434
283	171	433
284	172	432
285	173	432
286	173	431
287	173	429
288	174	428
289	174	427
290	174	426
291	175	425
292	175	423
293	176	422
294	176	421
295	176	420
296	177	420
297	178	419
298	178	419
299	179	418
300	180	418
301	180	417
302	181	417
303	182	417
304	182	416
305	183	415
306	183	414
307	184	413
308	184	412
309	184	411
310	185	410
311	185	408
312	185	407
313	186	406
314	186	405
315	186	404
316	187	403
317	187	402
318	188	401
319	188	400
320	188	399
321	189	398
322	189	397
323	189	396
324	190	395
325	190	393
326	190	392
327	191	391
328	191	390
329	191	389
330	192	388
331	192	387
332	193	387
333	193	386
334	194	385
335	194	384
336	194	383
337	195	382
338	195	381
339	196	380
340	196	379
341	197	379
342	197	378
343	197	377
344	198	376
345	198	375
346	198	374
347	199	373
348	199	371
349	199	370
350	200	369
351	200	368
352	200	367
353	201	366
354	201	366
355	201	365
356	202	364
357	202	363
358	202	362
359	203	361
360	203	360
361	204	359
362	204	359
363	205	358
364	205	357
365	205	356
366	206	356
367	207	355
368	207	355
369	208	354
370	208	353
371	208	352
372	209	351
373	209	350
374	210	350
375	210	349
376	210	348
377	211	347
378	211	346
379	211	345
380	212	345
381	212	344
382	213	343
383	213	342
384	214	341
385	214	341
386	215	340
387	216	341
388	217	341
389	218	341
390	218	340
391	219	340
392	219	339
393	220	338
394	220	337
395	220	336
396	221	336
397	221	335
398	221	334
399	222	333
400	222	332
401	223	331
402	223	331
403	223	330
404	224	329
405	224	328
406	225	327
407	225	327
408	225	326
409	226	325
410	226	324
411	226	323
412	227	322
413	227	321
414	227	321
415	228	320
416	228	319
417	228	318
418	229	317
419	229	317
420	230	316
421	230	315
422	230	314
423	231	313
424	231	313
425	231	312
426	232	311
427	233	311
428	233	311
429	234	310
430	234	309
431	235	309
432	236	309
433	237	309
434	237	308
435	238	308
436	238	307
437	239	306
438	239	306
439	239	305
440	240	304
441	240	303
442	241	303
443	241	302
444	241	301
445	242	300
446	242	299
447	242	299
448	243	298
449	243	297
450	243	296
451	244	296
452	244	295
453	244	294
454	245	293
455	245	293
456	245	292
457	246	291
458	246	290
459	247	290
460	247	289
461	247	288
462	248	288
463	249	287
464	249	287
465	250	286
466	250	286
467	251	285
468	251	284
469	251	284
470	252	283
471	253	283
472	253	282
473	254	282
474	255	282
475	255	281
476	256	280
477	256	280
478	256	279
479	257	278
480	257	277
481	257	277
482	258	276
483	258	275
484	259	275
485	259	274
486	259	273
487	260	272
488	260	272
489	260	271
490	261	270
491	261	269
492	261	269
493	262	268
494	262	267
495	262	266
496	263	266
497	263	265
498	263	264
499	263	263
500	264	263
501	264	262
502	265	262
503	265	261
504	265	260
505	266	259
506	266	259
507	266	258
508	267	257
509	267	257
510	268	256
511	268	255
512	268	255
513	269	254
514	269	253
515	269	253
516	270	252
517	270	251
518	270	251
519	271	250
520	271	249
521	272	249
522	272	248
523	273	248
524	273	247
525	273	246
526	274	246
527	274	245
528	275	245
529	276	244
530	276	244
531	277	243
532	278	243
533	279	243
534	279	242
535	280	242
536	280	242
537	281	241
538	282	241
539	282	240
540	283	240
541	283	239
542	284	239
543	285	239
544	286	238
545	286	238
546	287	237
547	287	237
548	287	236
549	288	235
550	288	235
551	288	234
552	289	233
553	289	233
554	289	232
555	290	231
556	290	231
557	290	230
558	291	229
559	291	229
560	291	228
561	292	227
562	292	227
563	292	226
564	293	225
565	293	225
566	294	224
567	294	223
568	294	223
569	295	222
570	295	221
571	295	221
572	296	220
573	296	220
574	296	219
575	297	218
576	297	218
577	297	217
578	298	216
579	298	216
580	298	215
581	299	214
582	299	214
583	300	213
584	300	213
585	300	212
586	301	211
587	301	211
588	301	210
589	302	210
590	302	209
591	303	209
592	304	209
593	305	208
594	305	208
595	306	207
596	306	206
597	306	206
598	307	205
599	307	205
600	307	204
601	308	203
602	308	203
603	308	202
604	309	202
605	309	201
606	310	200
607	310	200
608	310	199
609	311	198
610	311	198
611	311	197
612	312	197
613	312	196
614	312	195
615	313	195
616	313	194
617	313	194
618	314	193
619	314	192
620	315	192
621	315	191
622	315	191
623	316	190
624	316	189
625	316	189
626	317	188
627	318	188
628	318	187
629	319	187
630	319	186
631	319	186
632	320	185
633	320	185
634	320	184
635	321	183
636	321	183
637	322	182
638	322	182
639	322	181
640	323	181
641	324	180
642	325	180
643	325	180
644	326	179
645	326	178
646	326	178
